Name,Market,Total Funding (USD),Status,Country Code,City,Funding Rounds,Founded At,Founded Quarter,First Funding At,Last Funding At,Seed,Venture,Angel,Grant,Round A,Round B,Round C,Round D,Round E,Startup Age,Funding Duration Days,Funding Velocity,Rounds per Year,Continent,Market Group,Total Debt (USD),Total Equity (USD)
Woodland Biofuels, Clean Technology ,1218184.0,operating,CAN,Toronto,1.0,2000-01-01,2000-Q1,2008-04-01,2008-04-01,0.0,1218184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,inf,0.038461538461538464,North America,High Tech,0.0,0.0
woodpellets.com, Clean Technology ,15000000.0,operating,USA,Goffstown,2.0,2006-01-01,2006-Q1,2008-06-03,2009-08-31,0.0,15000000.0,0.0,0.0,4000000.0,11000000.0,0.0,0.0,0.0,19,454,33039.64757709251,0.1,North America,High Tech,0.0,0.0
Woopra, Software ,2000000.0,operating,USA,San Francisco,1.0,2008-03-01,2008-Q1,2012-01-01,2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,inf,0.05555555555555555,North America,Software & IT,0.0,0.0
Woowa Bros, Software ,50057463.0,operating,KOR,Seoul,4.0,2011-03-10,2011-Q1,2011-07-13,2014-11-26,0.0,49774601.0,282862.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1232,40631.05762987013,0.26666666666666666,Asia,Software & IT,0.0,0.0
Work Market, Enterprise Software ,15000000.0,operating,USA,New York,2.0,2010-05-12,2010-Q2,2011-09-01,2013-05-13,0.0,15000000.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,15,620,24193.548387096773,0.125,North America,Software & IT,0.0,0.0
Workbooks, Software ,2282474.0,operating,GBR,Reading,1.0,2007-01-01,2007-Q1,2011-07-22,2011-07-22,0.0,0.0,2282474.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,inf,0.05263157894736842,Europe,Software & IT,0.0,0.0
Workday, Technology ,175000000.0,operating,USA,Pleasanton,3.0,2005-03-01,2005-Q1,2005-01-01,2011-10-24,0.0,175000000.0,0.0,0.0,0.0,0.0,0.0,0.0,75000000.0,20,2487,70365.90269400885,0.14285714285714285,North America,High Tech,0.0,0.0
Workface, Software ,5443678.0,operating,USA,Minneapolis,5.0,2007-10-01,2007-Q4,2007-06-01,2013-09-19,742000.0,3701678.0,1000000.0,0.0,900000.0,0.0,0.0,0.0,0.0,18,2302,2364.7602085143353,0.2631578947368421,North America,Software & IT,0.0,0.0
WorkFlex Solutions, Software ,4500000.0,operating,USA,Cincinnati,2.0,2009-01-01,2009-Q1,2010-08-10,2014-03-13,0.0,4500000.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,16,1311,3432.4942791762014,0.11764705882352941,North America,Software & IT,0.0,0.0
WorkFusion (previously CrowdComputing Systems), Software ,22300000.0,operating,USA,New York,3.0,2010-06-01,2010-Q2,2011-01-01,2014-04-28,2300000.0,20000000.0,0.0,0.0,5000000.0,15000000.0,0.0,0.0,0.0,15,1213,18384.17147568013,0.1875,North America,Software & IT,0.0,0.0
Workpop, Internet ,7900000.0,operating,USA,Los Angeles,2.0,2014-01-01,2014-Q1,2014-04-01,2014-09-16,900000.0,7000000.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,11,168,47023.80952380953,0.16666666666666666,North America,Software & IT,0.0,0.0
Workshare, Software ,63571635.0,,GBR,London,3.0,1998-01-01,1998-Q1,2007-01-18,2014-05-07,0.0,23000000.0,0.0,0.0,0.0,23000000.0,0.0,0.0,0.0,27,2666,23845.324456114027,0.10714285714285714,Europe,Software & IT,40571635.0,0.0
Worksoft, Software ,25000000.0,operating,USA,Addison,3.0,1998-01-01,1998-Q1,2005-05-04,2010-01-04,0.0,25000000.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,27,1706,14654.161781946073,0.10714285714285714,North America,Software & IT,0.0,0.0
Workspace, Software ,250000.0,,USA,Owings Mills,1.0,2001-12-19,2001-Q4,2009-06-30,2009-06-30,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,inf,0.04,North America,Software & IT,0.0,0.0
Workstreamer, Enterprise Software ,3500000.0,closed,USA,Austin,2.0,2009-10-01,2009-Q4,2009-01-01,2010-07-27,0.0,3500000.0,0.0,0.0,3500000.0,0.0,0.0,0.0,0.0,16,572,6118.881118881119,0.11764705882352941,North America,Software & IT,0.0,0.0
Worktopia, Enterprise Software ,11682836.0,acquired,USA,White Plains,3.0,2004-01-01,2004-Q1,2007-10-01,2010-07-15,0.0,11682836.0,0.0,0.0,5000000.0,5400000.0,0.0,0.0,0.0,21,1018,11476.26326129666,0.13636363636363635,North America,Software & IT,0.0,0.0
Workube, Enterprise Software ,150000.0,operating,USA,New York,1.0,2008-08-01,2008-Q3,2009-01-01,2009-01-01,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,inf,0.05555555555555555,North America,Software & IT,0.0,0.0
WorkVoices, Enterprise Software ,267240.0,operating,NLD,Utrecht,1.0,2009-01-01,2009-Q1,2011-01-01,2011-01-01,267240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,inf,0.058823529411764705,Europe,Software & IT,0.0,0.0
World Energy, Clean Technology ,4925000.0,operating,USA,Burbank,1.0,2009-02-28,2009-Q1,2013-10-21,2013-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,inf,0.058823529411764705,North America,High Tech,0.0,4925000.0
World Procurement International, Software ,2000000.0,operating,USA,San Jose,1.0,2006-05-16,2006-Q2,2013-04-10,2013-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,inf,0.05,North America,Software & IT,0.0,0.0
WorldAPP, Enterprise Software ,2000000.0,operating,USA,Braintree,1.0,2002-01-19,2002-Q1,2014-06-26,2014-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,inf,0.041666666666666664,North America,Software & IT,0.0,0.0
WorldHeart, Health Care ,32606439.0,operating,USA,Salt Lake City,2.0,1996-01-01,1996-Q1,2010-02-03,2010-10-20,0.0,32606439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,259,125893.58687258688,0.06666666666666667,North America,Health & Biotech,0.0,0.0
Worldscape, Internet ,2000000.0,operating,,,1.0,2011-02-03,2011-Q1,2012-03-15,2012-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,inf,0.06666666666666667,Other,Software & IT,0.0,0.0
WorldViz, Virtualization ,1000000.0,operating,USA,Santa Barbara,1.0,2002-05-02,2002-Q2,2014-03-13,2014-03-13,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,inf,0.041666666666666664,North America,AI & Automation,0.0,0.0
Wormser Energy Solutions, Clean Technology ,830003.0,operating,USA,Marblehead,4.0,2007-01-01,2007-Q1,2009-06-15,2010-12-10,0.0,805003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,543,1528.5506445672193,0.21052631578947367,North America,High Tech,25000.0,0.0
